Neighbourhood,Neighbourhood Number,Question Type,Characteristic,Year,Value,Ward
Abbottsfield,2010,Household type,One-census-family households without additional persons,2021,375,Métis Ward
Abbottsfield,2010,Household type,Couple-family households,2021,205,Métis Ward
Abbottsfield,2010,Household type,Couple-family households with children,2021,145,Métis Ward
Abbottsfield,2010,Household type,Couple-family households without children,2021,65,Métis Ward
Abbottsfield,2010,Household type,One-parent-family households,2021,165,Métis Ward
Abbottsfield,2010,Household type,Multigenerational households,2021,25,Métis Ward
Abbottsfield,2010,Household type,Multiple-census-family households,2021,5,Métis Ward
Abbottsfield,2010,Household type,One-census-family households with additional persons,2021,20,Métis Ward
Abbottsfield,2010,Household type,Two-or-more-person non-census-family households,2021,60,Métis Ward
Abbottsfield,2010,Household type,One-person households,2021,160,Métis Ward
Albany,3460,Household size,1 person,2021,205,Anirniq Ward
Albany,3460,Household size,2 persons,2021,170,Anirniq Ward
Albany,3460,Household size,3 persons,2021,75,Anirniq Ward
Albany,3460,Household size,4 persons,2021,95,Anirniq Ward
Albany,3460,Household size,5 or more persons,2021,90,Anirniq Ward
Albany,3460,Household size,Average household size,2021,3,Anirniq Ward
Albany,3460,Number of persons in private households,Number of persons in private households,2021,1695,Anirniq Ward
Albany,3460,Marital status,Married or living common-law,2021,700,Anirniq Ward
Albany,3460,Marital status,Married,2021,610,Anirniq Ward
Albany,3460,Marital status,Living common-law,2021,95,Anirniq Ward
Albany,3460,Marital status,Living common law - Never married,2021,80,Anirniq Ward
Albany,3460,Marital status,Living common law - Separated,2021,0,Anirniq Ward
Albany,3460,Marital status,Living common law - Divorced,2021,15,Anirniq Ward
Albany,3460,Marital status,Living common law - Widowed,2021,5,Anirniq Ward
Albany,3460,Marital status,Not married and not living common-law,2021,590,Anirniq Ward
Albany,3460,Marital status,Not married and not living common law - Never married,2021,405,Anirniq Ward
Albany,3460,Marital status,Not married and not living common law - Separated,2021,40,Anirniq Ward
Albany,3460,Marital status,Not married and not living common law - Divorced,2021,105,Anirniq Ward
Albany,3460,Marital status,Not married and not living common law - Widowed,2021,35,Anirniq Ward
Albany,3460,Family size,2 persons,2021,170,Anirniq Ward
Albany,3460,Family size,3 persons,2021,90,Anirniq Ward
Albany,3460,Family size,4 persons,2021,85,Anirniq Ward
Albany,3460,Family size,5 or more persons,2021,70,Anirniq Ward
Albany,3460,Family size,Average size of census families,2021,3,Anirniq Ward
Albany,3460,Family size,Average number of children in census families with children,2021,2,Anirniq Ward
Albany,3460,Census families in private households,Total couple families,2021,340,Anirniq Ward
Albany,3460,Census families in private households,Married couples,2021,295,Anirniq Ward
Albany,3460,Census families in private households,Married couples with children,2021,200,Anirniq Ward
Albany,3460,Census families in private households,Married couples without children,2021,95,Anirniq Ward
Albany,3460,Census families in private households,Common-law couples,2021,50,Anirniq Ward
Albany,3460,Census families in private households,Common-law couples with children,2021,15,Anirniq Ward
Albany,3460,Census families in private households,Common-law couples without children,2021,30,Anirniq Ward
Albany,3460,Census families in private households,Total one-parent families,2021,75,Anirniq Ward
Albany,3460,Census families in private households,One-parent families in which the parent is a woman+,2021,60,Anirniq Ward
Albany,3460,Census families in private households,One-parent families in which the parent is a man+,2021,10,Anirniq Ward
Albany,3460,Persons in private households,Married spouses or common-law partners,2021,685,Anirniq Ward
Albany,3460,Persons in private households,Parents in one-parent families,2021,75,Anirniq Ward
Albany,3460,Persons in private households,Children,2021,600,Anirniq Ward
Albany,3460,Persons in private households,Children in a two-parent family,2021,485,Anirniq Ward
Albany,3460,Persons in private households,Children in a one-parent family,2021,115,Anirniq Ward
Albany,3460,Persons in private households,Persons not in census families,2021,335,Anirniq Ward
Albany,3460,Persons in private households,Persons not in census families - Living alone,2021,205,Anirniq Ward
Albany,3460,Persons in private households,Persons not in census families - Living with other relatives,2021,45,Anirniq Ward
Albany,3460,Persons in private households,Persons not in census families - Living with non-relatives only,2021,85,Anirniq Ward
Albany,3460,Household type,One-census-family households without additional persons,2021,350,Anirniq Ward
Albany,3460,Household type,Couple-family households,2021,290,Anirniq Ward
Albany,3460,Household type,Couple-family households with children,2021,175,Anirniq Ward
Albany,3460,Household type,Couple-family households without children,2021,110,Anirniq Ward
Albany,3460,Household type,One-parent-family households,2021,60,Anirniq Ward
Albany,3460,Household type,Multigenerational households,2021,30,Anirniq Ward
Albany,3460,Household type,Multiple-census-family households,2021,5,Anirniq Ward
Albany,3460,Household type,One-census-family households with additional persons,2021,20,Anirniq Ward
Albany,3460,Household type,Two-or-more-person non-census-family households,2021,35,Anirniq Ward
Albany,3460,Household type,One-person households,2021,210,Anirniq Ward
Alberta Avenue,1010,Household size,1 person,2021,1075,Métis Ward
Alberta Avenue,1010,Household size,2 persons,2021,875,Métis Ward
Alberta Avenue,1010,Household size,3 persons,2021,435,Métis Ward
Alberta Avenue,1010,Household size,4 persons,2021,300,Métis Ward
Alberta Avenue,1010,Household size,5 or more persons,2021,210,Métis Ward
Alberta Avenue,1010,Household size,Average household size,2021,2,Métis Ward
Alberta Avenue,1010,Number of persons in private households,Number of persons in private households,2021,6535,Métis Ward
Alberta Avenue,1010,Marital status,Married or living common-law,2021,2435,Métis Ward
Alberta Avenue,1010,Marital status,Married,2021,1810,Métis Ward
Alberta Avenue,1010,Marital status,Living common-law,2021,630,Métis Ward
Alberta Avenue,1010,Marital status,Living common law - Never married,2021,490,Métis Ward
Alberta Avenue,1010,Marital status,Living common law - Separated,2021,30,Métis Ward
Alberta Avenue,1010,Marital status,Living common law - Divorced,2021,95,Métis Ward
Alberta Avenue,1010,Marital status,Living common law - Widowed,2021,15,Métis Ward
Alberta Avenue,1010,Marital status,Not married and not living common-law,2021,3220,Métis Ward
Alberta Avenue,1010,Marital status,Not married and not living common law - Never married,2021,2235,Métis Ward
Alberta Avenue,1010,Marital status,Not married and not living common law - Separated,2021,250,Métis Ward
Alberta Avenue,1010,Marital status,Not married and not living common law - Divorced,2021,515,Métis Ward
Alberta Avenue,1010,Marital status,Not married and not living common law - Widowed,2021,220,Métis Ward
Alberta Avenue,1010,Family size,2 persons,2021,840,Métis Ward
Alberta Avenue,1010,Family size,3 persons,2021,370,Métis Ward
Alberta Avenue,1010,Family size,4 persons,2021,245,Métis Ward
Alberta Avenue,1010,Family size,5 or more persons,2021,120,Métis Ward
Alberta Avenue,1010,Family size,Average size of census families,2021,3,Métis Ward
Alberta Avenue,1010,Family size,Average number of children in census families with children,2021,2,Métis Ward
Alberta Avenue,1010,Census families in private households,Total couple families,2021,1175,Métis Ward
Alberta Avenue,1010,Census families in private households,Married couples,2021,865,Métis Ward
Alberta Avenue,1010,Census families in private households,Married couples with children,2021,490,Métis Ward
Alberta Avenue,1010,Census families in private households,Married couples without children,2021,370,Métis Ward
Alberta Avenue,1010,Census families in private households,Common-law couples,2021,310,Métis Ward
Alberta Avenue,1010,Census families in private households,Common-law couples with children,2021,95,Métis Ward
Alberta Avenue,1010,Census families in private households,Common-law couples without children,2021,215,Métis Ward
Alberta Avenue,1010,Census families in private households,Total one-parent families,2021,400,Métis Ward
Alberta Avenue,1010,Census families in private households,One-parent families in which the parent is a woman+,2021,300,Métis Ward
Alberta Avenue,1010,Census families in private households,One-parent families in which the parent is a man+,2021,105,Métis Ward
Alberta Avenue,1010,Persons in private households,Married spouses or common-law partners,2021,2355,Métis Ward
Alberta Avenue,1010,Persons in private households,Parents in one-parent families,2021,405,Métis Ward
Alberta Avenue,1010,Persons in private households,Children,2021,1705,Métis Ward
Alberta Avenue,1010,Persons in private households,Children in a two-parent family,2021,1055,Métis Ward
Alberta Avenue,1010,Persons in private households,Children in a one-parent family,2021,645,Métis Ward
Alberta Avenue,1010,Persons in private households,Persons not in census families,2021,2070,Métis Ward
Alberta Avenue,1010,Persons in private households,Persons not in census families - Living alone,2021,1075,Métis Ward
Alberta Avenue,1010,Persons in private households,Persons not in census families - Living with other relatives,2021,290,Métis Ward
Alberta Avenue,1010,Persons in private households,Persons not in census families - Living with non-relatives only,2021,710,Métis Ward
Alberta Avenue,1010,Household type,One-census-family households without additional persons,2021,1270,Métis Ward
Alberta Avenue,1010,Household type,Couple-family households,2021,995,Métis Ward
Alberta Avenue,1010,Household type,Couple-family households with children,2021,500,Métis Ward
Alberta Avenue,1010,Household type,Couple-family households without children,2021,500,Métis Ward
Alberta Avenue,1010,Household type,One-parent-family households,2021,275,Métis Ward
Alberta Avenue,1010,Household type,Multigenerational households,2021,80,Métis Ward
Alberta Avenue,1010,Household type,Multiple-census-family households,2021,25,Métis Ward
Alberta Avenue,1010,Household type,One-census-family households with additional persons,2021,140,Métis Ward
Alberta Avenue,1010,Household type,Two-or-more-person non-census-family households,2021,305,Métis Ward
Alberta Avenue,1010,Household type,One-person households,2021,1075,Métis Ward
Aldergrove,4020,Household size,1 person,2021,355,Nakota Isga Ward
Aldergrove,4020,Household size,2 persons,2021,650,Nakota Isga Ward
Aldergrove,4020,Household size,3 persons,2021,360,Nakota Isga Ward
Aldergrove,4020,Household size,4 persons,2021,310,Nakota Isga Ward
Aldergrove,4020,Household size,5 or more persons,2021,235,Nakota Isga Ward
Aldergrove,4020,Household size,Average household size,2021,3,Nakota Isga Ward
Aldergrove,4020,Number of persons in private households,Number of persons in private households,2021,5305,Nakota Isga Ward
Aldergrove,4020,Marital status,Married or living common-law,2021,2395,Nakota Isga Ward
Aldergrove,4020,Marital status,Married,2021,2055,Nakota Isga Ward
Aldergrove,4020,Marital status,Living common-law,2021,340,Nakota Isga Ward
Aldergrove,4020,Marital status,Living common law - Never married,2021,245,Nakota Isga Ward
Aldergrove,4020,Marital status,Living common law - Separated,2021,20,Nakota Isga Ward
Aldergrove,4020,Marital status,Living common law - Divorced,2021,65,Nakota Isga Ward
Aldergrove,4020,Marital status,Living common law - Widowed,2021,10,Nakota Isga Ward
Aldergrove,4020,Marital status,Not married and not living common-law,2021,1960,Nakota Isga Ward
Aldergrove,4020,Marital status,Not married and not living common law - Never married,2021,1420,Nakota Isga Ward
Aldergrove,4020,Marital status,Not married and not living common law - Separated,2021,110,Nakota Isga Ward
Aldergrove,4020,Marital status,Not married and not living common law - Divorced,2021,270,Nakota Isga Ward
Aldergrove,4020,Marital status,Not married and not living common law - Widowed,2021,160,Nakota Isga Ward
Aldergrove,4020,Family size,2 persons,2021,695,Nakota Isga Ward
Aldergrove,4020,Family size,3 persons,2021,325,Nakota Isga Ward
Aldergrove,4020,Family size,4 persons,2021,280,Nakota Isga Ward
Aldergrove,4020,Family size,5 or more persons,2021,170,Nakota Isga Ward
Aldergrove,4020,Family size,Average size of census families,2021,3,Nakota Isga Ward
Aldergrove,4020,Family size,Average number of children in census families with children,2021,2,Nakota Isga Ward
Aldergrove,4020,Census families in private households,Total couple families,2021,1160,Nakota Isga Ward
Aldergrove,4020,Census families in private households,Married couples,2021,990,Nakota Isga Ward
Aldergrove,4020,Census families in private households,Married couples with children,2021,575,Nakota Isga Ward
Aldergrove,4020,Census families in private households,Married couples without children,2021,410,Nakota Isga Ward
Aldergrove,4020,Census families in private households,Common-law couples,2021,170,Nakota Isga Ward
Aldergrove,4020,Census families in private households,Common-law couples with children,2021,80,Nakota Isga Ward
Aldergrove,4020,Census families in private households,Common-law couples without children,2021,90,Nakota Isga Ward
Aldergrove,4020,Census families in private households,Total one-parent families,2021,315,Nakota Isga Ward
Aldergrove,4020,Census families in private households,One-parent families in which the parent is a woman+,2021,240,Nakota Isga Ward
Aldergrove,4020,Census families in private households,One-parent families in which the parent is a man+,2021,75,Nakota Isga Ward
Aldergrove,4020,Persons in private households,Married spouses or common-law partners,2021,2315,Nakota Isga Ward
Aldergrove,4020,Persons in private households,Parents in one-parent families,2021,315,Nakota Isga Ward
Aldergrove,4020,Persons in private households,Children,2021,1790,Nakota Isga Ward
Aldergrove,4020,Persons in private households,Children in a two-parent family,2021,1290,Nakota Isga Ward
Aldergrove,4020,Persons in private households,Children in a one-parent family,2021,500,Nakota Isga Ward
Aldergrove,4020,Persons in private households,Persons not in census families,2021,885,Nakota Isga Ward
Aldergrove,4020,Persons in private households,Persons not in census families - Living alone,2021,360,Nakota Isga Ward
Aldergrove,4020,Persons in private households,Persons not in census families - Living with other relatives,2021,225,Nakota Isga Ward
Aldergrove,4020,Persons in private households,Persons not in census families - Living with non-relatives only,2021,300,Nakota Isga Ward
Aldergrove,4020,Household type,One-census-family households without additional persons,2021,1235,Nakota Isga Ward
Aldergrove,4020,Household type,Couple-family households,2021,1005,Nakota Isga Ward
Aldergrove,4020,Household type,Couple-family households with children,2021,575,Nakota Isga Ward
Aldergrove,4020,Household type,Couple-family households without children,2021,425,Nakota Isga Ward
Aldergrove,4020,Household type,One-parent-family households,2021,240,Nakota Isga Ward
Aldergrove,4020,Household type,Multigenerational households,2021,50,Nakota Isga Ward
Aldergrove,4020,Household type,Multiple-census-family households,2021,20,Nakota Isga Ward
Aldergrove,4020,Household type,One-census-family households with additional persons,2021,120,Nakota Isga Ward
Aldergrove,4020,Household type,Two-or-more-person non-census-family households,2021,125,Nakota Isga Ward
Aldergrove,4020,Household type,One-person households,2021,360,Nakota Isga Ward
Allard,5458,Household size,1 person,2021,555,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Household size,2 persons,2021,760,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Household size,3 persons,2021,560,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Household size,4 persons,2021,640,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Household size,5 or more persons,2021,360,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Household size,Average household size,2021,3,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Number of persons in private households,Number of persons in private households,2021,8285,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Marital status,Married or living common-law,2021,4105,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Marital status,Married,2021,3605,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Marital status,Living common-law,2021,500,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Marital status,Living common law - Never married,2021,420,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Marital status,Living common law - Separated,2021,10,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Marital status,Living common law - Divorced,2021,70,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Marital status,Living common law - Widowed,2021,5,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Marital status,Not married and not living common-law,2021,2035,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Marital status,Not married and not living common law - Never married,2021,1525,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Marital status,Not married and not living common law - Separated,2021,140,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Marital status,Not married and not living common law - Divorced,2021,250,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Marital status,Not married and not living common law - Widowed,2021,115,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Family size,2 persons,2021,815,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Family size,3 persons,2021,565,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Family size,4 persons,2021,665,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Family size,5 or more persons,2021,235,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Family size,Average size of census families,2021,3,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Family size,Average number of children in census families with children,2021,2,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Census families in private households,Total couple families,2021,2000,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Census families in private households,Married couples,2021,1750,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Census families in private households,Married couples with children,2021,1290,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Census families in private households,Married couples without children,2021,465,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Census families in private households,Common-law couples,2021,250,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Census families in private households,Common-law couples with children,2021,75,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Census families in private households,Common-law couples without children,2021,175,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Census families in private households,Total one-parent families,2021,270,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Census families in private households,One-parent families in which the parent is a woman+,2021,215,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Census families in private households,One-parent families in which the parent is a man+,2021,60,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Persons in private households,Married spouses or common-law partners,2021,4005,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Persons in private households,Parents in one-parent families,2021,275,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Persons in private households,Children,2021,2935,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Persons in private households,Children in a two-parent family,2021,2540,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Persons in private households,Children in a one-parent family,2021,395,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Persons in private households,Persons not in census families,2021,1070,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Persons in private households,Persons not in census families - Living alone,2021,555,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Persons in private households,Persons not in census families - Living with other relatives,2021,245,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Persons in private households,Persons not in census families - Living with non-relatives only,2021,270,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Household type,One-census-family households without additional persons,2021,1900,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Household type,Couple-family households,2021,1695,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Household type,Couple-family households with children,2021,1185,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Household type,Couple-family households without children,2021,510,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Household type,One-parent-family households,2021,210,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Household type,Multigenerational households,2021,140,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Household type,Multiple-census-family households,2021,20,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Household type,One-census-family households with additional persons,2021,110,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Household type,Two-or-more-person non-census-family households,2021,140,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Household type,One-person households,2021,555,Ipiihkoohkanipiaohtsi Ward
Allendale,5010,Household size,1 person,2021,500,papastew Ward
Allendale,5010,Household size,2 persons,2021,415,papastew Ward
Allendale,5010,Household size,3 persons,2021,210,papastew Ward
Allendale,5010,Household size,4 persons,2021,125,papastew Ward
Allendale,5010,Household size,5 or more persons,2021,65,papastew Ward
Allendale,5010,Household size,Average household size,2021,2,papastew Ward
Allendale,5010,Number of persons in private households,Number of persons in private households,2021,2825,papastew Ward
Allendale,5010,Marital status,Married or living common-law,2021,1085,papastew Ward
Allendale,5010,Marital status,Married,2021,755,papastew Ward
Allendale,5010,Marital status,Living common-law,2021,330,papastew Ward
Allendale,5010,Marital status,Living common law - Never married,2021,290,papastew Ward
Allendale,5010,Marital status,Living common law - Separated,2021,10,papastew Ward
Allendale,5010,Marital status,Living common law - Divorced,2021,30,papastew Ward
Allendale,5010,Marital status,Living common law - Widowed,2021,5,papastew Ward
Allendale,5010,Marital status,Not married and not living common-law,2021,1410,papastew Ward
Allendale,5010,Marital status,Not married and not living common law - Never married,2021,1055,papastew Ward
Allendale,5010,Marital status,Not married and not living common law - Separated,2021,60,papastew Ward
Allendale,5010,Marital status,Not married and not living common law - Divorced,2021,225,papastew Ward
Allendale,5010,Marital status,Not married and not living common law - Widowed,2021,70,papastew Ward
Allendale,5010,Family size,2 persons,2021,375,papastew Ward
Allendale,5010,Family size,3 persons,2021,155,papastew Ward
Allendale,5010,Family size,4 persons,2021,100,papastew Ward
Allendale,5010,Family size,5 or more persons,2021,40,papastew Ward
Allendale,5010,Family size,Average size of census families,2021,3,papastew Ward
Allendale,5010,Family size,Average number of children in census families with children,2021,2,papastew Ward
Allendale,5010,Census families in private households,Total couple families,2021,530,papastew Ward
Delton,1080,Family size,4 persons,2021,70,Métis Ward
Allendale,5010,Census families in private households,Married couples,2021,365,papastew Ward
Allendale,5010,Census families in private households,Married couples with children,2021,195,papastew Ward
Allendale,5010,Census families in private households,Married couples without children,2021,175,papastew Ward
Allendale,5010,Census families in private households,Common-law couples,2021,160,papastew Ward
Allendale,5010,Census families in private households,Common-law couples with children,2021,40,papastew Ward
Allendale,5010,Census families in private households,Common-law couples without children,2021,125,papastew Ward
Allendale,5010,Census families in private households,Total one-parent families,2021,140,papastew Ward
Allendale,5010,Census families in private households,One-parent families in which the parent is a woman+,2021,110,papastew Ward
Allendale,5010,Census families in private households,One-parent families in which the parent is a man+,2021,30,papastew Ward
Allendale,5010,Persons in private households,Married spouses or common-law partners,2021,1060,papastew Ward
Allendale,5010,Persons in private households,Parents in one-parent families,2021,135,papastew Ward
Allendale,5010,Persons in private households,Children,2021,625,papastew Ward
Allendale,5010,Persons in private households,Children in a two-parent family,2021,385,papastew Ward
Allendale,5010,Persons in private households,Children in a one-parent family,2021,235,papastew Ward
Allendale,5010,Persons in private households,Persons not in census families,2021,1010,papastew Ward
Allendale,5010,Persons in private households,Persons not in census families - Living alone,2021,495,papastew Ward
Allendale,5010,Persons in private households,Persons not in census families - Living with other relatives,2021,75,papastew Ward
Allendale,5010,Persons in private households,Persons not in census families - Living with non-relatives only,2021,435,papastew Ward
Allendale,5010,Household type,One-census-family households without additional persons,2021,580,papastew Ward
Allendale,5010,Household type,Couple-family households,2021,465,papastew Ward
Allendale,5010,Household type,Couple-family households with children,2021,210,papastew Ward
Allendale,5010,Household type,Couple-family households without children,2021,255,papastew Ward
Allendale,5010,Household type,One-parent-family households,2021,115,papastew Ward
Allendale,5010,Household type,Multigenerational households,2021,10,papastew Ward
Allendale,5010,Household type,Multiple-census-family households,2021,5,papastew Ward
Allendale,5010,Household type,One-census-family households with additional persons,2021,65,papastew Ward
Allendale,5010,Household type,Two-or-more-person non-census-family households,2021,160,papastew Ward
Allendale,5010,Household type,One-person households,2021,500,papastew Ward
Ambleside,5505,Household size,1 person,2021,690,pihêsiwin Ward
Ambleside,5505,Household size,2 persons,2021,725,pihêsiwin Ward
Ambleside,5505,Household size,3 persons,2021,415,pihêsiwin Ward
Ambleside,5505,Household size,4 persons,2021,470,pihêsiwin Ward
Ambleside,5505,Household size,5 or more persons,2021,245,pihêsiwin Ward
Ambleside,5505,Household size,Average household size,2021,3,pihêsiwin Ward
Ambleside,5505,Number of persons in private households,Number of persons in private households,2021,6590,pihêsiwin Ward
Ambleside,5505,Marital status,Married or living common-law,2021,3305,pihêsiwin Ward
Ambleside,5505,Marital status,Married,2021,2860,pihêsiwin Ward
Ambleside,5505,Marital status,Living common-law,2021,440,pihêsiwin Ward
Ambleside,5505,Marital status,Living common law - Never married,2021,355,pihêsiwin Ward
Ambleside,5505,Marital status,Living common law - Separated,2021,10,pihêsiwin Ward
Ambleside,5505,Marital status,Living common law - Divorced,2021,70,pihêsiwin Ward
Ambleside,5505,Marital status,Living common law - Widowed,2021,5,pihêsiwin Ward
Ambleside,5505,Marital status,Not married and not living common-law,2021,1815,pihêsiwin Ward
Ambleside,5505,Marital status,Not married and not living common law - Never married,2021,1260,pihêsiwin Ward
Ambleside,5505,Marital status,Not married and not living common law - Separated,2021,110,pihêsiwin Ward
Ambleside,5505,Marital status,Not married and not living common law - Divorced,2021,250,pihêsiwin Ward
Ambleside,5505,Marital status,Not married and not living common law - Widowed,2021,195,pihêsiwin Ward
Ambleside,5505,Family size,2 persons,2021,740,pihêsiwin Ward
Ambleside,5505,Family size,3 persons,2021,420,pihêsiwin Ward
Ambleside,5505,Family size,4 persons,2021,485,pihêsiwin Ward
Ambleside,5505,Family size,5 or more persons,2021,165,pihêsiwin Ward
Ambleside,5505,Family size,Average size of census families,2021,3,pihêsiwin Ward
Ambleside,5505,Family size,Average number of children in census families with children,2021,2,pihêsiwin Ward
Ambleside,5505,Census families in private households,Total couple families,2021,1605,pihêsiwin Ward
Ambleside,5505,Census families in private households,Married couples,2021,1385,pihêsiwin Ward
Ambleside,5505,Census families in private households,Married couples with children,2021,920,pihêsiwin Ward
Ambleside,5505,Census families in private households,Married couples without children,2021,465,pihêsiwin Ward
Ambleside,5505,Census families in private households,Common-law couples,2021,225,pihêsiwin Ward
Ambleside,5505,Census families in private households,Common-law couples with children,2021,65,pihêsiwin Ward
Ambleside,5505,Census families in private households,Common-law couples without children,2021,155,pihêsiwin Ward
Ambleside,5505,Census families in private households,Total one-parent families,2021,200,pihêsiwin Ward
