Neighbourhood,Neighbourhood Number,Question Type,Gender,Age Range,Year,Value,Ward
Albany,3460,Age & Gender,Men+,90 to 94 years,2021,0,Anirniq Ward
Albany,3460,Age & Gender,Men+,95 to 99 years,2021,0,Anirniq Ward
Albany,3460,Age & Gender,Men+,100 years and over,2021,0,Anirniq Ward
Alberta Avenue,1010,Age & Gender,Men+,0 to 4 years,2021,170,Métis Ward
Alberta Avenue,1010,Age & Gender,Men+,0 to 14 years,2021,460,Métis Ward
Alberta Avenue,1010,Age & Gender,Men+,5 to 9 years,2021,135,Métis Ward
Alberta Avenue,1010,Age & Gender,Men+,10 to 14 years,2021,155,Métis Ward
Alberta Avenue,1010,Age & Gender,Men+,15 to 19 years,2021,140,Métis Ward
Alberta Avenue,1010,Age & Gender,Men+,15 to 64 years,2021,2530,Métis Ward
Alberta Avenue,1010,Age & Gender,Men+,20 to 24 years,2021,235,Métis Ward
Alberta Avenue,1010,Age & Gender,Men+,25 to 29 years,2021,250,Métis Ward
Alberta Avenue,1010,Age & Gender,Men+,30 to 34 years,2021,290,Métis Ward
Alberta Avenue,1010,Age & Gender,Men+,35 to 39 years,2021,320,Métis Ward
Alberta Avenue,1010,Age & Gender,Men+,40 to 44 years,2021,280,Métis Ward
Alberta Avenue,1010,Age & Gender,Men+,45 to 49 years,2021,205,Métis Ward
Alberta Avenue,1010,Age & Gender,Men+,50 to 54 years,2021,255,Métis Ward
Alberta Avenue,1010,Age & Gender,Men+,55 to 59 years,2021,260,Métis Ward
Alberta Avenue,1010,Age & Gender,Men+,60 to 64 years,2021,285,Métis Ward
Alberta Avenue,1010,Age & Gender,Men+,65 to 69 years,2021,215,Métis Ward
Alberta Avenue,1010,Age & Gender,Men+,65 years and over,2021,465,Métis Ward
Alberta Avenue,1010,Age & Gender,Men+,70 to 74 years,2021,115,Métis Ward
Alberta Avenue,1010,Age & Gender,Men+,75 to 79 years,2021,60,Métis Ward
Alberta Avenue,1010,Age & Gender,Men+,80 to 84 years,2021,30,Métis Ward
Alberta Avenue,1010,Age & Gender,Men+,85 to 89 years,2021,20,Métis Ward
Alberta Avenue,1010,Age & Gender,Men+,85 years and over,2021,35,Métis Ward
Alberta Avenue,1010,Age & Gender,Men+,90 to 94 years,2021,10,Métis Ward
Alberta Avenue,1010,Age & Gender,Men+,95 to 99 years,2021,5,Métis Ward
Alberta Avenue,1010,Age & Gender,Men+,100 years and over,2021,0,Métis Ward
Aldergrove,4020,Age & Gender,Men+,0 to 4 years,2021,160,Nakota Isga Ward
Aldergrove,4020,Age & Gender,Men+,0 to 14 years,2021,495,Nakota Isga Ward
Aldergrove,4020,Age & Gender,Men+,5 to 9 years,2021,175,Nakota Isga Ward
Aldergrove,4020,Age & Gender,Men+,10 to 14 years,2021,160,Nakota Isga Ward
Aldergrove,4020,Age & Gender,Men+,15 to 19 years,2021,155,Nakota Isga Ward
Aldergrove,4020,Age & Gender,Men+,15 to 64 years,2021,1775,Nakota Isga Ward
Aldergrove,4020,Age & Gender,Men+,20 to 24 years,2021,200,Nakota Isga Ward
Aldergrove,4020,Age & Gender,Men+,25 to 29 years,2021,205,Nakota Isga Ward
Aldergrove,4020,Age & Gender,Men+,30 to 34 years,2021,205,Nakota Isga Ward
Aldergrove,4020,Age & Gender,Men+,35 to 39 years,2021,175,Nakota Isga Ward
Aldergrove,4020,Age & Gender,Men+,40 to 44 years,2021,180,Nakota Isga Ward
Aldergrove,4020,Age & Gender,Men+,45 to 49 years,2021,170,Nakota Isga Ward
Aldergrove,4020,Age & Gender,Men+,50 to 54 years,2021,145,Nakota Isga Ward
Aldergrove,4020,Age & Gender,Men+,55 to 59 years,2021,165,Nakota Isga Ward
Aldergrove,4020,Age & Gender,Men+,60 to 64 years,2021,170,Nakota Isga Ward
Aldergrove,4020,Age & Gender,Men+,65 to 69 years,2021,165,Nakota Isga Ward
Aldergrove,4020,Age & Gender,Men+,65 years and over,2021,375,Nakota Isga Ward
Aldergrove,4020,Age & Gender,Men+,70 to 74 years,2021,105,Nakota Isga Ward
Aldergrove,4020,Age & Gender,Men+,75 to 79 years,2021,50,Nakota Isga Ward
Aldergrove,4020,Age & Gender,Men+,80 to 84 years,2021,25,Nakota Isga Ward
Aldergrove,4020,Age & Gender,Men+,85 to 89 years,2021,20,Nakota Isga Ward
Aldergrove,4020,Age & Gender,Men+,85 years and over,2021,25,Nakota Isga Ward
Aldergrove,4020,Age & Gender,Men+,90 to 94 years,2021,5,Nakota Isga Ward
Aldergrove,4020,Age & Gender,Men+,95 to 99 years,2021,0,Nakota Isga Ward
Aldergrove,4020,Age & Gender,Men+,100 years and over,2021,0,Nakota Isga Ward
Allard,5458,Age & Gender,Men+,0 to 4 years,2021,430,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Age & Gender,Men+,0 to 14 years,2021,1135,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Age & Gender,Men+,5 to 9 years,2021,420,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Age & Gender,Men+,10 to 14 years,2021,285,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Age & Gender,Men+,15 to 19 years,2021,195,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Age & Gender,Men+,15 to 64 years,2021,2845,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Age & Gender,Men+,20 to 24 years,2021,235,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Age & Gender,Men+,25 to 29 years,2021,280,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Age & Gender,Men+,30 to 34 years,2021,470,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Age & Gender,Men+,35 to 39 years,2021,480,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Age & Gender,Men+,40 to 44 years,2021,410,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Age & Gender,Men+,45 to 49 years,2021,300,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Age & Gender,Men+,50 to 54 years,2021,200,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Age & Gender,Men+,55 to 59 years,2021,160,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Age & Gender,Men+,60 to 64 years,2021,105,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Age & Gender,Men+,65 to 69 years,2021,80,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Age & Gender,Men+,65 years and over,2021,185,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Age & Gender,Men+,70 to 74 years,2021,55,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Age & Gender,Men+,75 to 79 years,2021,35,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Age & Gender,Men+,80 to 84 years,2021,10,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Age & Gender,Men+,85 to 89 years,2021,0,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Age & Gender,Men+,85 years and over,2021,0,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Age & Gender,Men+,90 to 94 years,2021,0,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Age & Gender,Men+,95 to 99 years,2021,0,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Age & Gender,Men+,100 years and over,2021,0,Ipiihkoohkanipiaohtsi Ward
Allendale,5010,Age & Gender,Men+,0 to 4 years,2021,75,papastew Ward
Allendale,5010,Age & Gender,Men+,0 to 14 years,2021,185,papastew Ward
Allendale,5010,Age & Gender,Men+,5 to 9 years,2021,60,papastew Ward
Allendale,5010,Age & Gender,Men+,10 to 14 years,2021,50,papastew Ward
Allendale,5010,Age & Gender,Men+,15 to 19 years,2021,85,papastew Ward
Allendale,5010,Age & Gender,Men+,15 to 64 years,2021,1085,papastew Ward
Allendale,5010,Age & Gender,Men+,20 to 24 years,2021,135,papastew Ward
Allendale,5010,Age & Gender,Men+,25 to 29 years,2021,175,papastew Ward
Allendale,5010,Age & Gender,Men+,30 to 34 years,2021,170,papastew Ward
Allendale,5010,Age & Gender,Men+,35 to 39 years,2021,120,papastew Ward
Allendale,5010,Age & Gender,Men+,40 to 44 years,2021,80,papastew Ward
Allendale,5010,Age & Gender,Men+,45 to 49 years,2021,75,papastew Ward
Allendale,5010,Age & Gender,Men+,50 to 54 years,2021,85,papastew Ward
Allendale,5010,Age & Gender,Men+,55 to 59 years,2021,85,papastew Ward
Allendale,5010,Age & Gender,Men+,60 to 64 years,2021,85,papastew Ward
Allendale,5010,Age & Gender,Men+,65 to 69 years,2021,65,papastew Ward
Allendale,5010,Age & Gender,Men+,65 years and over,2021,155,papastew Ward
Allendale,5010,Age & Gender,Men+,70 to 74 years,2021,30,papastew Ward
Allendale,5010,Age & Gender,Men+,75 to 79 years,2021,25,papastew Ward
Allendale,5010,Age & Gender,Men+,80 to 84 years,2021,20,papastew Ward
Allendale,5010,Age & Gender,Men+,85 to 89 years,2021,10,papastew Ward
Allendale,5010,Age & Gender,Men+,85 years and over,2021,15,papastew Ward
Allendale,5010,Age & Gender,Men+,90 to 94 years,2021,5,papastew Ward
Allendale,5010,Age & Gender,Men+,95 to 99 years,2021,0,papastew Ward
Allendale,5010,Age & Gender,Men+,100 years and over,2021,0,papastew Ward
Ambleside,5505,Age & Gender,Men+,0 to 4 years,2021,295,pihêsiwin Ward
Ambleside,5505,Age & Gender,Men+,0 to 14 years,2021,810,pihêsiwin Ward
Ambleside,5505,Age & Gender,Men+,5 to 9 years,2021,280,pihêsiwin Ward
Ambleside,5505,Age & Gender,Men+,10 to 14 years,2021,230,pihêsiwin Ward
Ambleside,5505,Age & Gender,Men+,15 to 19 years,2021,135,pihêsiwin Ward
Ambleside,5505,Age & Gender,Men+,15 to 64 years,2021,2185,pihêsiwin Ward
Ambleside,5505,Age & Gender,Men+,20 to 24 years,2021,140,pihêsiwin Ward
Ambleside,5505,Age & Gender,Men+,25 to 29 years,2021,230,pihêsiwin Ward
Ambleside,5505,Age & Gender,Men+,30 to 34 years,2021,310,pihêsiwin Ward
Ambleside,5505,Age & Gender,Men+,35 to 39 years,2021,430,pihêsiwin Ward
Ambleside,5505,Age & Gender,Men+,40 to 44 years,2021,315,pihêsiwin Ward
Ambleside,5505,Age & Gender,Men+,45 to 49 years,2021,220,pihêsiwin Ward
Ambleside,5505,Age & Gender,Men+,50 to 54 years,2021,180,pihêsiwin Ward
Ambleside,5505,Age & Gender,Men+,55 to 59 years,2021,120,pihêsiwin Ward
Ambleside,5505,Age & Gender,Men+,60 to 64 years,2021,100,pihêsiwin Ward
Ambleside,5505,Age & Gender,Men+,65 to 69 years,2021,90,pihêsiwin Ward
Ambleside,5505,Age & Gender,Men+,65 years and over,2021,260,pihêsiwin Ward
Ambleside,5505,Age & Gender,Men+,70 to 74 years,2021,85,pihêsiwin Ward
Ambleside,5505,Age & Gender,Men+,75 to 79 years,2021,45,pihêsiwin Ward
Ambleside,5505,Age & Gender,Men+,80 to 84 years,2021,20,pihêsiwin Ward
Ambleside,5505,Age & Gender,Men+,85 to 89 years,2021,10,pihêsiwin Ward
Ambleside,5505,Age & Gender,Men+,85 years and over,2021,15,pihêsiwin Ward
Ambleside,5505,Age & Gender,Men+,90 to 94 years,2021,5,pihêsiwin Ward
Ambleside,5505,Age & Gender,Men+,95 to 99 years,2021,0,pihêsiwin Ward
Ambleside,5505,Age & Gender,Men+,100 years and over,2021,0,pihêsiwin Ward
Argyll,6010,Age & Gender,Men+,0 to 4 years,2021,20,papastew Ward
Argyll,6010,Age & Gender,Men+,0 to 14 years,2021,60,papastew Ward
Argyll,6010,Age & Gender,Men+,5 to 9 years,2021,20,papastew Ward
Argyll,6010,Age & Gender,Men+,10 to 14 years,2021,20,papastew Ward
Argyll,6010,Age & Gender,Men+,15 to 19 years,2021,15,papastew Ward
Argyll,6010,Age & Gender,Men+,15 to 64 years,2021,275,papastew Ward
Argyll,6010,Age & Gender,Men+,20 to 24 years,2021,20,papastew Ward
Argyll,6010,Age & Gender,Men+,25 to 29 years,2021,25,papastew Ward
Argyll,6010,Age & Gender,Men+,30 to 34 years,2021,35,papastew Ward
Argyll,6010,Age & Gender,Men+,35 to 39 years,2021,35,papastew Ward
Argyll,6010,Age & Gender,Men+,40 to 44 years,2021,30,papastew Ward
Argyll,6010,Age & Gender,Men+,45 to 49 years,2021,35,papastew Ward
Argyll,6010,Age & Gender,Men+,50 to 54 years,2021,20,papastew Ward
Argyll,6010,Age & Gender,Men+,55 to 59 years,2021,30,papastew Ward
Argyll,6010,Age & Gender,Men+,60 to 64 years,2021,30,papastew Ward
Argyll,6010,Age & Gender,Men+,65 to 69 years,2021,30,papastew Ward
Argyll,6010,Age & Gender,Men+,65 years and over,2021,75,papastew Ward
Argyll,6010,Age & Gender,Men+,70 to 74 years,2021,20,papastew Ward
Argyll,6010,Age & Gender,Men+,75 to 79 years,2021,10,papastew Ward
Argyll,6010,Age & Gender,Men+,80 to 84 years,2021,5,papastew Ward
Argyll,6010,Age & Gender,Men+,85 to 89 years,2021,5,papastew Ward
Argyll,6010,Age & Gender,Men+,85 years and over,2021,10,papastew Ward
Argyll,6010,Age & Gender,Men+,90 to 94 years,2021,0,papastew Ward
Argyll,6010,Age & Gender,Men+,95 to 99 years,2021,5,papastew Ward
Argyll,6010,Age & Gender,Men+,100 years and over,2021,0,papastew Ward
Aspen Gardens,5020,Age & Gender,Men+,0 to 4 years,2021,35,papastew Ward
Aspen Gardens,5020,Age & Gender,Men+,0 to 14 years,2021,155,papastew Ward
Aspen Gardens,5020,Age & Gender,Men+,5 to 9 years,2021,55,papastew Ward
Aspen Gardens,5020,Age & Gender,Men+,10 to 14 years,2021,60,papastew Ward
Aspen Gardens,5020,Age & Gender,Men+,15 to 19 years,2021,65,papastew Ward
Aspen Gardens,5020,Age & Gender,Men+,15 to 64 years,2021,525,papastew Ward
Aspen Gardens,5020,Age & Gender,Men+,20 to 24 years,2021,60,papastew Ward
Aspen Gardens,5020,Age & Gender,Men+,25 to 29 years,2021,35,papastew Ward
Aspen Gardens,5020,Age & Gender,Men+,30 to 34 years,2021,40,papastew Ward
Aspen Gardens,5020,Age & Gender,Men+,35 to 39 years,2021,45,papastew Ward
Aspen Gardens,5020,Age & Gender,Men+,40 to 44 years,2021,55,papastew Ward
Aspen Gardens,5020,Age & Gender,Men+,45 to 49 years,2021,55,papastew Ward
Aspen Gardens,5020,Age & Gender,Men+,50 to 54 years,2021,60,papastew Ward
Aspen Gardens,5020,Age & Gender,Men+,55 to 59 years,2021,70,papastew Ward
Aspen Gardens,5020,Age & Gender,Men+,60 to 64 years,2021,45,papastew Ward
Aspen Gardens,5020,Age & Gender,Men+,65 to 69 years,2021,50,papastew Ward
Aspen Gardens,5020,Age & Gender,Men+,65 years and over,2021,150,papastew Ward
Aspen Gardens,5020,Age & Gender,Men+,70 to 74 years,2021,35,papastew Ward
Aspen Gardens,5020,Age & Gender,Men+,75 to 79 years,2021,25,papastew Ward
Aspen Gardens,5020,Age & Gender,Men+,80 to 84 years,2021,20,papastew Ward
Aspen Gardens,5020,Age & Gender,Men+,85 to 89 years,2021,20,papastew Ward
Aspen Gardens,5020,Age & Gender,Men+,85 years and over,2021,25,papastew Ward
Aspen Gardens,5020,Age & Gender,Men+,90 to 94 years,2021,5,papastew Ward
Aspen Gardens,5020,Age & Gender,Men+,95 to 99 years,2021,0,papastew Ward
Aspen Gardens,5020,Age & Gender,Men+,100 years and over,2021,0,papastew Ward
Athlone,3010,Age & Gender,Men+,0 to 4 years,2021,85,Anirniq Ward
Athlone,3010,Age & Gender,Men+,0 to 14 years,2021,265,Anirniq Ward
Athlone,3010,Age & Gender,Men+,5 to 9 years,2021,90,Anirniq Ward
Athlone,3010,Age & Gender,Men+,10 to 14 years,2021,90,Anirniq Ward
Athlone,3010,Age & Gender,Men+,15 to 19 years,2021,90,Anirniq Ward
Athlone,3010,Age & Gender,Men+,15 to 64 years,2021,1165,Anirniq Ward
Athlone,3010,Age & Gender,Men+,20 to 24 years,2021,130,Anirniq Ward
Athlone,3010,Age & Gender,Men+,25 to 29 years,2021,105,Anirniq Ward
Athlone,3010,Age & Gender,Men+,30 to 34 years,2021,125,Anirniq Ward
Athlone,3010,Age & Gender,Men+,35 to 39 years,2021,100,Anirniq Ward
Athlone,3010,Age & Gender,Men+,40 to 44 years,2021,120,Anirniq Ward
Athlone,3010,Age & Gender,Men+,45 to 49 years,2021,105,Anirniq Ward
Athlone,3010,Age & Gender,Men+,50 to 54 years,2021,110,Anirniq Ward
Athlone,3010,Age & Gender,Men+,55 to 59 years,2021,140,Anirniq Ward
Athlone,3010,Age & Gender,Men+,60 to 64 years,2021,140,Anirniq Ward
Athlone,3010,Age & Gender,Men+,65 to 69 years,2021,90,Anirniq Ward
Athlone,3010,Age & Gender,Men+,65 years and over,2021,215,Anirniq Ward
Athlone,3010,Age & Gender,Men+,70 to 74 years,2021,45,Anirniq Ward
Athlone,3010,Age & Gender,Men+,75 to 79 years,2021,35,Anirniq Ward
Athlone,3010,Age & Gender,Men+,80 to 84 years,2021,25,Anirniq Ward
Athlone,3010,Age & Gender,Men+,85 to 89 years,2021,5,Anirniq Ward
Athlone,3010,Age & Gender,Men+,85 years and over,2021,15,Anirniq Ward
Athlone,3010,Age & Gender,Men+,90 to 94 years,2021,10,Anirniq Ward
Athlone,3010,Age & Gender,Men+,95 to 99 years,2021,0,Anirniq Ward
Athlone,3010,Age & Gender,Men+,100 years and over,2021,0,Anirniq Ward
Avonmore,6020,Age & Gender,Men+,0 to 4 years,2021,40,Métis Ward
Avonmore,6020,Age & Gender,Men+,0 to 14 years,2021,155,Métis Ward
Avonmore,6020,Age & Gender,Men+,5 to 9 years,2021,65,Métis Ward
Avonmore,6020,Age & Gender,Men+,10 to 14 years,2021,55,Métis Ward
Avonmore,6020,Age & Gender,Men+,15 to 19 years,2021,45,Métis Ward
Avonmore,6020,Age & Gender,Men+,15 to 64 years,2021,720,Métis Ward
Avonmore,6020,Age & Gender,Men+,20 to 24 years,2021,50,Métis Ward
Avonmore,6020,Age & Gender,Men+,25 to 29 years,2021,70,Métis Ward
Avonmore,6020,Age & Gender,Men+,30 to 34 years,2021,100,Métis Ward
Avonmore,6020,Age & Gender,Men+,35 to 39 years,2021,105,Métis Ward
Avonmore,6020,Age & Gender,Men+,40 to 44 years,2021,80,Métis Ward
Avonmore,6020,Age & Gender,Men+,45 to 49 years,2021,75,Métis Ward
Avonmore,6020,Age & Gender,Men+,50 to 54 years,2021,55,Métis Ward
Avonmore,6020,Age & Gender,Men+,55 to 59 years,2021,70,Métis Ward
Avonmore,6020,Age & Gender,Men+,60 to 64 years,2021,85,Métis Ward
Avonmore,6020,Age & Gender,Men+,65 to 69 years,2021,60,Métis Ward
Avonmore,6020,Age & Gender,Men+,65 years and over,2021,200,Métis Ward
Avonmore,6020,Age & Gender,Men+,70 to 74 years,2021,60,Métis Ward
Avonmore,6020,Age & Gender,Men+,75 to 79 years,2021,30,Métis Ward
Avonmore,6020,Age & Gender,Men+,80 to 84 years,2021,25,Métis Ward
Avonmore,6020,Age & Gender,Men+,85 to 89 years,2021,15,Métis Ward
Avonmore,6020,Age & Gender,Men+,85 years and over,2021,30,Métis Ward
Avonmore,6020,Age & Gender,Men+,90 to 94 years,2021,10,Métis Ward
Avonmore,6020,Age & Gender,Men+,95 to 99 years,2021,5,Métis Ward
Avonmore,6020,Age & Gender,Men+,100 years and over,2021,0,Métis Ward
Balwin,2020,Age & Gender,Men+,0 to 4 years,2021,135,tastawiyiniwak Ward
Balwin,2020,Age & Gender,Men+,0 to 14 years,2021,415,tastawiyiniwak Ward
Balwin,2020,Age & Gender,Men+,5 to 9 years,2021,135,tastawiyiniwak Ward
Balwin,2020,Age & Gender,Men+,10 to 14 years,2021,150,tastawiyiniwak Ward
Balwin,2020,Age & Gender,Men+,15 to 19 years,2021,155,tastawiyiniwak Ward
Balwin,2020,Age & Gender,Men+,15 to 64 years,2021,1460,tastawiyiniwak Ward
Balwin,2020,Age & Gender,Men+,20 to 24 years,2021,170,tastawiyiniwak Ward
Balwin,2020,Age & Gender,Men+,25 to 29 years,2021,135,tastawiyiniwak Ward
Balwin,2020,Age & Gender,Men+,30 to 34 years,2021,150,tastawiyiniwak Ward
Balwin,2020,Age & Gender,Men+,35 to 39 years,2021,120,tastawiyiniwak Ward
Balwin,2020,Age & Gender,Men+,40 to 44 years,2021,150,tastawiyiniwak Ward
Balwin,2020,Age & Gender,Men+,45 to 49 years,2021,110,tastawiyiniwak Ward
Balwin,2020,Age & Gender,Men+,50 to 54 years,2021,150,tastawiyiniwak Ward
Balwin,2020,Age & Gender,Men+,55 to 59 years,2021,170,tastawiyiniwak Ward
Balwin,2020,Age & Gender,Men+,60 to 64 years,2021,155,tastawiyiniwak Ward
Balwin,2020,Age & Gender,Men+,65 to 69 years,2021,80,tastawiyiniwak Ward
Balwin,2020,Age & Gender,Men+,65 years and over,2021,235,tastawiyiniwak Ward
Balwin,2020,Age & Gender,Men+,70 to 74 years,2021,60,tastawiyiniwak Ward
Balwin,2020,Age & Gender,Men+,75 to 79 years,2021,45,tastawiyiniwak Ward
Balwin,2020,Age & Gender,Men+,80 to 84 years,2021,25,tastawiyiniwak Ward
Balwin,2020,Age & Gender,Men+,85 to 89 years,2021,20,tastawiyiniwak Ward
Balwin,2020,Age & Gender,Men+,85 years and over,2021,30,tastawiyiniwak Ward
Balwin,2020,Age & Gender,Men+,90 to 94 years,2021,5,tastawiyiniwak Ward
Balwin,2020,Age & Gender,Men+,95 to 99 years,2021,0,tastawiyiniwak Ward
Balwin,2020,Age & Gender,Men+,100 years and over,2021,0,tastawiyiniwak Ward
Bannerman,2030,Age & Gender,Men+,0 to 4 years,2021,85,Dene Ward
Bannerman,2030,Age & Gender,Men+,0 to 14 years,2021,270,Dene Ward
Bannerman,2030,Age & Gender,Men+,5 to 9 years,2021,85,Dene Ward
Bannerman,2030,Age & Gender,Men+,10 to 14 years,2021,95,Dene Ward
Bannerman,2030,Age & Gender,Men+,15 to 19 years,2021,90,Dene Ward
Bannerman,2030,Age & Gender,Men+,15 to 64 years,2021,875,Dene Ward
Bannerman,2030,Age & Gender,Men+,20 to 24 years,2021,75,Dene Ward
Bannerman,2030,Age & Gender,Men+,25 to 29 years,2021,85,Dene Ward
Bannerman,2030,Age & Gender,Men+,30 to 34 years,2021,115,Dene Ward
Bannerman,2030,Age & Gender,Men+,35 to 39 years,2021,125,Dene Ward
Bannerman,2030,Age & Gender,Men+,40 to 44 years,2021,85,Dene Ward
Bannerman,2030,Age & Gender,Men+,45 to 49 years,2021,65,Dene Ward
Bannerman,2030,Age & Gender,Men+,50 to 54 years,2021,65,Dene Ward
Bannerman,2030,Age & Gender,Men+,55 to 59 years,2021,80,Dene Ward
Bannerman,2030,Age & Gender,Men+,60 to 64 years,2021,95,Dene Ward
Bannerman,2030,Age & Gender,Men+,65 to 69 years,2021,100,Dene Ward
Bannerman,2030,Age & Gender,Men+,65 years and over,2021,220,Dene Ward
Bannerman,2030,Age & Gender,Men+,70 to 74 years,2021,65,Dene Ward
Bannerman,2030,Age & Gender,Men+,75 to 79 years,2021,35,Dene Ward
Bannerman,2030,Age & Gender,Men+,80 to 84 years,2021,10,Dene Ward
Bannerman,2030,Age & Gender,Men+,85 to 89 years,2021,5,Dene Ward
Bannerman,2030,Age & Gender,Men+,85 years and over,2021,15,Dene Ward
Bannerman,2030,Age & Gender,Men+,90 to 94 years,2021,5,Dene Ward
Bannerman,2030,Age & Gender,Men+,95 to 99 years,2021,0,Dene Ward
Bannerman,2030,Age & Gender,Men+,100 years and over,2021,0,Dene Ward
Baranow,3020,Age & Gender,Men+,0 to 4 years,2021,130,Anirniq Ward
Baranow,3020,Age & Gender,Men+,0 to 14 years,2021,255,Anirniq Ward
Baranow,3020,Age & Gender,Men+,5 to 9 years,2021,70,Anirniq Ward
