Neighbourhood,Neighbourhood Number,Question Type,Gender,Characteristic,Year,Value,Ward
Albany,3460,Visible Minority,Men+,Korean,2021,0,Anirniq Ward
Albany,3460,Visible Minority,Men+,Latin American,2021,15,Anirniq Ward
Albany,3460,Visible Minority,Men+,Multiple visible minorities,2021,20,Anirniq Ward
Albany,3460,Visible Minority,Men+,Not a visible minority,2021,425,Anirniq Ward
Albany,3460,Visible Minority,Men+,South Asian,2021,45,Anirniq Ward
Albany,3460,Visible Minority,Men+,Southeast Asian,2021,20,Anirniq Ward
Albany,3460,Visible Minority,Men+,Total visible minority population,2021,405,Anirniq Ward
Albany,3460,Visible Minority,Men+,"Visible minority, n.i.e.",2021,0,Anirniq Ward
Albany,3460,Visible Minority,Men+,West Asian,2021,0,Anirniq Ward
Albany,3460,Visible Minority,Total,Arab,2021,260,Anirniq Ward
Albany,3460,Visible Minority,Total,Black,2021,270,Anirniq Ward
Albany,3460,Visible Minority,Total,Chinese,2021,45,Anirniq Ward
Albany,3460,Visible Minority,Total,Filipino,2021,55,Anirniq Ward
Albany,3460,Visible Minority,Total,Japanese,2021,0,Anirniq Ward
Albany,3460,Visible Minority,Total,Korean,2021,0,Anirniq Ward
Albany,3460,Visible Minority,Total,Latin American,2021,35,Anirniq Ward
Albany,3460,Visible Minority,Total,Multiple visible minorities,2021,55,Anirniq Ward
Albany,3460,Visible Minority,Total,Not a visible minority,2021,760,Anirniq Ward
Albany,3460,Visible Minority,Total,South Asian,2021,125,Anirniq Ward
Albany,3460,Visible Minority,Total,Southeast Asian,2021,30,Anirniq Ward
Albany,3460,Visible Minority,Total,Total visible minority population,2021,895,Anirniq Ward
Albany,3460,Visible Minority,Total,"Visible minority, n.i.e.",2021,0,Anirniq Ward
Albany,3460,Visible Minority,Total,West Asian,2021,0,Anirniq Ward
Albany,3460,Visible Minority,Women+,Arab,2021,130,Anirniq Ward
Albany,3460,Visible Minority,Women+,Black,2021,140,Anirniq Ward
Albany,3460,Visible Minority,Women+,Chinese,2021,25,Anirniq Ward
Albany,3460,Visible Minority,Women+,Filipino,2021,40,Anirniq Ward
Albany,3460,Visible Minority,Women+,Japanese,2021,0,Anirniq Ward
Albany,3460,Visible Minority,Women+,Korean,2021,0,Anirniq Ward
Albany,3460,Visible Minority,Women+,Latin American,2021,20,Anirniq Ward
Albany,3460,Visible Minority,Women+,Multiple visible minorities,2021,35,Anirniq Ward
Albany,3460,Visible Minority,Women+,Not a visible minority,2021,330,Anirniq Ward
Albany,3460,Visible Minority,Women+,South Asian,2021,80,Anirniq Ward
Albany,3460,Visible Minority,Women+,Southeast Asian,2021,10,Anirniq Ward
Albany,3460,Visible Minority,Women+,Total visible minority population,2021,485,Anirniq Ward
Albany,3460,Visible Minority,Women+,"Visible minority, n.i.e.",2021,0,Anirniq Ward
Albany,3460,Visible Minority,Women+,West Asian,2021,0,Anirniq Ward
Alberta Avenue,1010,Visible Minority,Men+,Arab,2021,70,Métis Ward
Alberta Avenue,1010,Visible Minority,Men+,Black,2021,380,Métis Ward
Alberta Avenue,1010,Visible Minority,Men+,Chinese,2021,165,Métis Ward
Alberta Avenue,1010,Visible Minority,Men+,Filipino,2021,170,Métis Ward
Alberta Avenue,1010,Visible Minority,Men+,Japanese,2021,20,Métis Ward
Alberta Avenue,1010,Visible Minority,Men+,Korean,2021,0,Métis Ward
Alberta Avenue,1010,Visible Minority,Men+,Latin American,2021,80,Métis Ward
Alberta Avenue,1010,Visible Minority,Men+,Multiple visible minorities,2021,60,Métis Ward
Alberta Avenue,1010,Visible Minority,Men+,Not a visible minority,2021,2120,Métis Ward
Alberta Avenue,1010,Visible Minority,Men+,South Asian,2021,100,Métis Ward
Alberta Avenue,1010,Visible Minority,Men+,Southeast Asian,2021,165,Métis Ward
Alberta Avenue,1010,Visible Minority,Men+,Total visible minority population,2021,1235,Métis Ward
Alberta Avenue,1010,Visible Minority,Men+,"Visible minority, n.i.e.",2021,10,Métis Ward
Alberta Avenue,1010,Visible Minority,Men+,West Asian,2021,10,Métis Ward
Alberta Avenue,1010,Visible Minority,Total,Arab,2021,155,Métis Ward
Alberta Avenue,1010,Visible Minority,Total,Black,2021,725,Métis Ward
Alberta Avenue,1010,Visible Minority,Total,Chinese,2021,330,Métis Ward
Alberta Avenue,1010,Visible Minority,Total,Filipino,2021,360,Métis Ward
Alberta Avenue,1010,Visible Minority,Total,Japanese,2021,40,Métis Ward
Alberta Avenue,1010,Visible Minority,Total,Korean,2021,0,Métis Ward
Alberta Avenue,1010,Visible Minority,Total,Latin American,2021,165,Métis Ward
Alberta Avenue,1010,Visible Minority,Total,Multiple visible minorities,2021,110,Métis Ward
Alberta Avenue,1010,Visible Minority,Total,Not a visible minority,2021,3935,Métis Ward
Alberta Avenue,1010,Visible Minority,Total,South Asian,2021,145,Métis Ward
Alberta Avenue,1010,Visible Minority,Total,Southeast Asian,2021,335,Métis Ward
Alberta Avenue,1010,Visible Minority,Total,Total visible minority population,2021,2390,Métis Ward
Alberta Avenue,1010,Visible Minority,Total,"Visible minority, n.i.e.",2021,10,Métis Ward
Alberta Avenue,1010,Visible Minority,Total,West Asian,2021,10,Métis Ward
Alberta Avenue,1010,Visible Minority,Women+,Arab,2021,80,Métis Ward
Alberta Avenue,1010,Visible Minority,Women+,Black,2021,345,Métis Ward
Alberta Avenue,1010,Visible Minority,Women+,Chinese,2021,165,Métis Ward
Alberta Avenue,1010,Visible Minority,Women+,Filipino,2021,190,Métis Ward
Alberta Avenue,1010,Visible Minority,Women+,Japanese,2021,20,Métis Ward
Alberta Avenue,1010,Visible Minority,Women+,Korean,2021,0,Métis Ward
Alberta Avenue,1010,Visible Minority,Women+,Latin American,2021,80,Métis Ward
Alberta Avenue,1010,Visible Minority,Women+,Multiple visible minorities,2021,50,Métis Ward
Alberta Avenue,1010,Visible Minority,Women+,Not a visible minority,2021,1815,Métis Ward
Alberta Avenue,1010,Visible Minority,Women+,South Asian,2021,45,Métis Ward
Alberta Avenue,1010,Visible Minority,Women+,Southeast Asian,2021,175,Métis Ward
Alberta Avenue,1010,Visible Minority,Women+,Total visible minority population,2021,1155,Métis Ward
Alberta Avenue,1010,Visible Minority,Women+,"Visible minority, n.i.e.",2021,0,Métis Ward
Alberta Avenue,1010,Visible Minority,Women+,West Asian,2021,0,Métis Ward
Aldergrove,4020,Visible Minority,Men+,Arab,2021,115,Nakota Isga Ward
Aldergrove,4020,Visible Minority,Men+,Black,2021,205,Nakota Isga Ward
Aldergrove,4020,Visible Minority,Men+,Chinese,2021,140,Nakota Isga Ward
Aldergrove,4020,Visible Minority,Men+,Filipino,2021,350,Nakota Isga Ward
Aldergrove,4020,Visible Minority,Men+,Japanese,2021,0,Nakota Isga Ward
Aldergrove,4020,Visible Minority,Men+,Korean,2021,0,Nakota Isga Ward
Aldergrove,4020,Visible Minority,Men+,Latin American,2021,45,Nakota Isga Ward
Aldergrove,4020,Visible Minority,Men+,Multiple visible minorities,2021,40,Nakota Isga Ward
Aldergrove,4020,Visible Minority,Men+,Not a visible minority,2021,1535,Nakota Isga Ward
Aldergrove,4020,Visible Minority,Men+,South Asian,2021,135,Nakota Isga Ward
Aldergrove,4020,Visible Minority,Men+,Southeast Asian,2021,10,Nakota Isga Ward
Aldergrove,4020,Visible Minority,Men+,Total visible minority population,2021,1080,Nakota Isga Ward
Aldergrove,4020,Visible Minority,Men+,"Visible minority, n.i.e.",2021,0,Nakota Isga Ward
Aldergrove,4020,Visible Minority,Men+,West Asian,2021,25,Nakota Isga Ward
Aldergrove,4020,Visible Minority,Total,Arab,2021,180,Nakota Isga Ward
Aldergrove,4020,Visible Minority,Total,Black,2021,395,Nakota Isga Ward
Aldergrove,4020,Visible Minority,Total,Chinese,2021,300,Nakota Isga Ward
Aldergrove,4020,Visible Minority,Total,Filipino,2021,745,Nakota Isga Ward
Aldergrove,4020,Visible Minority,Total,Japanese,2021,0,Nakota Isga Ward
Aldergrove,4020,Visible Minority,Total,Korean,2021,0,Nakota Isga Ward
Aldergrove,4020,Visible Minority,Total,Latin American,2021,85,Nakota Isga Ward
Aldergrove,4020,Visible Minority,Total,Multiple visible minorities,2021,100,Nakota Isga Ward
Aldergrove,4020,Visible Minority,Total,Not a visible minority,2021,3050,Nakota Isga Ward
Aldergrove,4020,Visible Minority,Total,South Asian,2021,295,Nakota Isga Ward
Aldergrove,4020,Visible Minority,Total,Southeast Asian,2021,30,Nakota Isga Ward
Aldergrove,4020,Visible Minority,Total,Total visible minority population,2021,2210,Nakota Isga Ward
Aldergrove,4020,Visible Minority,Total,"Visible minority, n.i.e.",2021,15,Nakota Isga Ward
Aldergrove,4020,Visible Minority,Total,West Asian,2021,50,Nakota Isga Ward
Aldergrove,4020,Visible Minority,Women+,Arab,2021,65,Nakota Isga Ward
Aldergrove,4020,Visible Minority,Women+,Black,2021,185,Nakota Isga Ward
Aldergrove,4020,Visible Minority,Women+,Chinese,2021,165,Nakota Isga Ward
Aldergrove,4020,Visible Minority,Women+,Filipino,2021,395,Nakota Isga Ward
Aldergrove,4020,Visible Minority,Women+,Japanese,2021,0,Nakota Isga Ward
Aldergrove,4020,Visible Minority,Women+,Korean,2021,0,Nakota Isga Ward
Aldergrove,4020,Visible Minority,Women+,Latin American,2021,40,Nakota Isga Ward
Aldergrove,4020,Visible Minority,Women+,Multiple visible minorities,2021,60,Nakota Isga Ward
Aldergrove,4020,Visible Minority,Women+,Not a visible minority,2021,1520,Nakota Isga Ward
Aldergrove,4020,Visible Minority,Women+,South Asian,2021,160,Nakota Isga Ward
Aldergrove,4020,Visible Minority,Women+,Southeast Asian,2021,25,Nakota Isga Ward
Aldergrove,4020,Visible Minority,Women+,Total visible minority population,2021,1130,Nakota Isga Ward
Aldergrove,4020,Visible Minority,Women+,"Visible minority, n.i.e.",2021,10,Nakota Isga Ward
Aldergrove,4020,Visible Minority,Women+,West Asian,2021,25,Nakota Isga Ward
Allard,5458,Visible Minority,Men+,Arab,2021,30,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Visible Minority,Men+,Black,2021,350,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Visible Minority,Men+,Chinese,2021,515,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Visible Minority,Men+,Filipino,2021,320,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Visible Minority,Men+,Japanese,2021,10,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Visible Minority,Men+,Korean,2021,170,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Visible Minority,Men+,Latin American,2021,85,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Visible Minority,Men+,Multiple visible minorities,2021,35,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Visible Minority,Men+,Not a visible minority,2021,1330,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Visible Minority,Men+,South Asian,2021,1225,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Visible Minority,Men+,Southeast Asian,2021,50,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Visible Minority,Men+,Total visible minority population,2021,2885,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Visible Minority,Men+,"Visible minority, n.i.e.",2021,20,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Visible Minority,Men+,West Asian,2021,55,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Visible Minority,Total,Arab,2021,70,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Visible Minority,Total,Black,2021,720,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Visible Minority,Total,Chinese,2021,1050,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Visible Minority,Total,Filipino,2021,740,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Visible Minority,Total,Japanese,2021,25,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Visible Minority,Total,Korean,2021,345,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Visible Minority,Total,Latin American,2021,185,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Visible Minority,Total,Multiple visible minorities,2021,90,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Visible Minority,Total,Not a visible minority,2021,2575,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Visible Minority,Total,South Asian,2021,2390,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Visible Minority,Total,Southeast Asian,2021,110,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Visible Minority,Total,Total visible minority population,2021,5860,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Visible Minority,Total,"Visible minority, n.i.e.",2021,25,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Visible Minority,Total,West Asian,2021,115,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Visible Minority,Women+,Arab,2021,35,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Visible Minority,Women+,Black,2021,365,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Visible Minority,Women+,Chinese,2021,530,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Visible Minority,Women+,Filipino,2021,415,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Visible Minority,Women+,Japanese,2021,10,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Visible Minority,Women+,Korean,2021,170,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Visible Minority,Women+,Latin American,2021,100,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Visible Minority,Women+,Multiple visible minorities,2021,55,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Visible Minority,Women+,Not a visible minority,2021,1245,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Visible Minority,Women+,South Asian,2021,1165,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Visible Minority,Women+,Southeast Asian,2021,60,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Visible Minority,Women+,Total visible minority population,2021,2975,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Visible Minority,Women+,"Visible minority, n.i.e.",2021,0,Ipiihkoohkanipiaohtsi Ward
Allard,5458,Visible Minority,Women+,West Asian,2021,60,Ipiihkoohkanipiaohtsi Ward
Allendale,5010,Visible Minority,Men+,Arab,2021,20,papastew Ward
Allendale,5010,Visible Minority,Men+,Black,2021,55,papastew Ward
Allendale,5010,Visible Minority,Men+,Chinese,2021,80,papastew Ward
Allendale,5010,Visible Minority,Men+,Filipino,2021,55,papastew Ward
Allendale,5010,Visible Minority,Men+,Japanese,2021,10,papastew Ward
Allendale,5010,Visible Minority,Men+,Korean,2021,0,papastew Ward
Allendale,5010,Visible Minority,Men+,Latin American,2021,20,papastew Ward
Allendale,5010,Visible Minority,Men+,Multiple visible minorities,2021,0,papastew Ward
Allendale,5010,Visible Minority,Men+,Not a visible minority,2021,1020,papastew Ward
Allendale,5010,Visible Minority,Men+,South Asian,2021,80,papastew Ward
Allendale,5010,Visible Minority,Men+,Southeast Asian,2021,0,papastew Ward
Allendale,5010,Visible Minority,Men+,Total visible minority population,2021,350,papastew Ward
Allendale,5010,Visible Minority,Men+,"Visible minority, n.i.e.",2021,0,papastew Ward
Allendale,5010,Visible Minority,Men+,West Asian,2021,25,papastew Ward
Allendale,5010,Visible Minority,Total,Arab,2021,20,papastew Ward
Allendale,5010,Visible Minority,Total,Black,2021,105,papastew Ward
Allendale,5010,Visible Minority,Total,Chinese,2021,175,papastew Ward
Allendale,5010,Visible Minority,Total,Filipino,2021,95,papastew Ward
Allendale,5010,Visible Minority,Total,Japanese,2021,30,papastew Ward
Allendale,5010,Visible Minority,Total,Korean,2021,20,papastew Ward
Allendale,5010,Visible Minority,Total,Latin American,2021,35,papastew Ward
Allendale,5010,Visible Minority,Total,Multiple visible minorities,2021,10,papastew Ward
Allendale,5010,Visible Minority,Total,Not a visible minority,2021,2145,papastew Ward
Allendale,5010,Visible Minority,Total,South Asian,2021,150,papastew Ward
Allendale,5010,Visible Minority,Total,Southeast Asian,2021,0,papastew Ward
Allendale,5010,Visible Minority,Total,Total visible minority population,2021,695,papastew Ward
Allendale,5010,Visible Minority,Total,"Visible minority, n.i.e.",2021,0,papastew Ward
Allendale,5010,Visible Minority,Total,West Asian,2021,40,papastew Ward
Allendale,5010,Visible Minority,Women+,Arab,2021,0,papastew Ward
Allendale,5010,Visible Minority,Women+,Black,2021,60,papastew Ward
Allendale,5010,Visible Minority,Women+,Chinese,2021,95,papastew Ward
Allendale,5010,Visible Minority,Women+,Filipino,2021,40,papastew Ward
Allendale,5010,Visible Minority,Women+,Japanese,2021,25,papastew Ward
Allendale,5010,Visible Minority,Women+,Korean,2021,15,papastew Ward
Allendale,5010,Visible Minority,Women+,Latin American,2021,20,papastew Ward
Allendale,5010,Visible Minority,Women+,Multiple visible minorities,2021,0,papastew Ward
Allendale,5010,Visible Minority,Women+,Not a visible minority,2021,1125,papastew Ward
Allendale,5010,Visible Minority,Women+,South Asian,2021,70,papastew Ward
Allendale,5010,Visible Minority,Women+,Southeast Asian,2021,0,papastew Ward
Allendale,5010,Visible Minority,Women+,Total visible minority population,2021,345,papastew Ward
Allendale,5010,Visible Minority,Women+,"Visible minority, n.i.e.",2021,0,papastew Ward
Allendale,5010,Visible Minority,Women+,West Asian,2021,10,papastew Ward
Ambleside,5505,Visible Minority,Men+,Arab,2021,55,pihêsiwin Ward
Ambleside,5505,Visible Minority,Men+,Black,2021,130,pihêsiwin Ward
Ambleside,5505,Visible Minority,Men+,Chinese,2021,655,pihêsiwin Ward
Ambleside,5505,Visible Minority,Men+,Filipino,2021,100,pihêsiwin Ward
Ambleside,5505,Visible Minority,Men+,Japanese,2021,25,pihêsiwin Ward
Ambleside,5505,Visible Minority,Men+,Korean,2021,75,pihêsiwin Ward
Ambleside,5505,Visible Minority,Men+,Latin American,2021,55,pihêsiwin Ward
Ambleside,5505,Visible Minority,Men+,Multiple visible minorities,2021,15,pihêsiwin Ward
Ambleside,5505,Visible Minority,Men+,Not a visible minority,2021,1650,pihêsiwin Ward
Ambleside,5505,Visible Minority,Men+,South Asian,2021,395,pihêsiwin Ward
Ambleside,5505,Visible Minority,Men+,Southeast Asian,2021,90,pihêsiwin Ward
Ambleside,5505,Visible Minority,Men+,Total visible minority population,2021,1660,pihêsiwin Ward
Ambleside,5505,Visible Minority,Men+,"Visible minority, n.i.e.",2021,0,pihêsiwin Ward
Ambleside,5505,Visible Minority,Men+,West Asian,2021,70,pihêsiwin Ward
Ambleside,5505,Visible Minority,Total,Arab,2021,120,pihêsiwin Ward
Ambleside,5505,Visible Minority,Total,Black,2021,285,pihêsiwin Ward
Ambleside,5505,Visible Minority,Total,Chinese,2021,1380,pihêsiwin Ward
Ambleside,5505,Visible Minority,Total,Filipino,2021,220,pihêsiwin Ward
Ambleside,5505,Visible Minority,Total,Japanese,2021,40,pihêsiwin Ward
Ambleside,5505,Visible Minority,Total,Korean,2021,170,pihêsiwin Ward
Ambleside,5505,Visible Minority,Total,Latin American,2021,125,pihêsiwin Ward
Ambleside,5505,Visible Minority,Total,Multiple visible minorities,2021,40,pihêsiwin Ward
Ambleside,5505,Visible Minority,Total,Not a visible minority,2021,3190,pihêsiwin Ward
Ambleside,5505,Visible Minority,Total,South Asian,2021,805,pihêsiwin Ward
Ambleside,5505,Visible Minority,Total,Southeast Asian,2021,190,pihêsiwin Ward
Ambleside,5505,Visible Minority,Total,Total visible minority population,2021,3545,pihêsiwin Ward
Ambleside,5505,Visible Minority,Total,"Visible minority, n.i.e.",2021,15,pihêsiwin Ward
Ambleside,5505,Visible Minority,Total,West Asian,2021,145,pihêsiwin Ward
Ambleside,5505,Visible Minority,Women+,Arab,2021,70,pihêsiwin Ward
Ambleside,5505,Visible Minority,Women+,Black,2021,150,pihêsiwin Ward
Ambleside,5505,Visible Minority,Women+,Chinese,2021,730,pihêsiwin Ward
Ambleside,5505,Visible Minority,Women+,Filipino,2021,120,pihêsiwin Ward
Ambleside,5505,Visible Minority,Women+,Japanese,2021,20,pihêsiwin Ward
Ambleside,5505,Visible Minority,Women+,Korean,2021,95,pihêsiwin Ward
Ambleside,5505,Visible Minority,Women+,Latin American,2021,75,pihêsiwin Ward
Ambleside,5505,Visible Minority,Women+,Multiple visible minorities,2021,25,pihêsiwin Ward
Ambleside,5505,Visible Minority,Women+,Not a visible minority,2021,1540,pihêsiwin Ward
Ambleside,5505,Visible Minority,Women+,South Asian,2021,410,pihêsiwin Ward
Ambleside,5505,Visible Minority,Women+,Southeast Asian,2021,105,pihêsiwin Ward
Ambleside,5505,Visible Minority,Women+,Total visible minority population,2021,1885,pihêsiwin Ward
Ambleside,5505,Visible Minority,Women+,"Visible minority, n.i.e.",2021,15,pihêsiwin Ward
Ambleside,5505,Visible Minority,Women+,West Asian,2021,80,pihêsiwin Ward
Argyll,6010,Visible Minority,Men+,Arab,2021,0,papastew Ward
Argyll,6010,Visible Minority,Men+,Black,2021,0,papastew Ward
Argyll,6010,Visible Minority,Men+,Chinese,2021,50,papastew Ward
Argyll,6010,Visible Minority,Men+,Filipino,2021,0,papastew Ward
Argyll,6010,Visible Minority,Men+,Japanese,2021,0,papastew Ward
Argyll,6010,Visible Minority,Men+,Korean,2021,0,papastew Ward
Argyll,6010,Visible Minority,Men+,Latin American,2021,0,papastew Ward
Argyll,6010,Visible Minority,Men+,Multiple visible minorities,2021,0,papastew Ward
Argyll,6010,Visible Minority,Men+,Not a visible minority,2021,320,papastew Ward
Argyll,6010,Visible Minority,Men+,South Asian,2021,0,papastew Ward
Argyll,6010,Visible Minority,Men+,Southeast Asian,2021,0,papastew Ward
Argyll,6010,Visible Minority,Men+,Total visible minority population,2021,65,papastew Ward
Argyll,6010,Visible Minority,Men+,"Visible minority, n.i.e.",2021,0,papastew Ward
Argyll,6010,Visible Minority,Men+,West Asian,2021,0,papastew Ward
Argyll,6010,Visible Minority,Total,Arab,2021,0,papastew Ward
Argyll,6010,Visible Minority,Total,Black,2021,0,papastew Ward
Argyll,6010,Visible Minority,Total,Chinese,2021,90,papastew Ward
Argyll,6010,Visible Minority,Total,Filipino,2021,10,papastew Ward
Argyll,6010,Visible Minority,Total,Japanese,2021,0,papastew Ward
Argyll,6010,Visible Minority,Total,Korean,2021,0,papastew Ward
Argyll,6010,Visible Minority,Total,Latin American,2021,15,papastew Ward
Argyll,6010,Visible Minority,Total,Multiple visible minorities,2021,0,papastew Ward
Argyll,6010,Visible Minority,Total,Not a visible minority,2021,660,papastew Ward
Argyll,6010,Visible Minority,Total,South Asian,2021,0,papastew Ward
Argyll,6010,Visible Minority,Total,Southeast Asian,2021,0,papastew Ward
Argyll,6010,Visible Minority,Total,Total visible minority population,2021,125,papastew Ward
Argyll,6010,Visible Minority,Total,"Visible minority, n.i.e.",2021,0,papastew Ward
Argyll,6010,Visible Minority,Total,West Asian,2021,0,papastew Ward
Argyll,6010,Visible Minority,Women+,Arab,2021,0,papastew Ward
Argyll,6010,Visible Minority,Women+,Black,2021,0,papastew Ward
Argyll,6010,Visible Minority,Women+,Chinese,2021,30,papastew Ward
Argyll,6010,Visible Minority,Women+,Filipino,2021,10,papastew Ward
Argyll,6010,Visible Minority,Women+,Japanese,2021,0,papastew Ward
Argyll,6010,Visible Minority,Women+,Korean,2021,0,papastew Ward
Argyll,6010,Visible Minority,Women+,Latin American,2021,10,papastew Ward
Argyll,6010,Visible Minority,Women+,Multiple visible minorities,2021,0,papastew Ward
Argyll,6010,Visible Minority,Women+,Not a visible minority,2021,345,papastew Ward
Argyll,6010,Visible Minority,Women+,South Asian,2021,0,papastew Ward
Argyll,6010,Visible Minority,Women+,Southeast Asian,2021,0,papastew Ward
Argyll,6010,Visible Minority,Women+,Total visible minority population,2021,60,papastew Ward
Argyll,6010,Visible Minority,Women+,"Visible minority, n.i.e.",2021,0,papastew Ward
Argyll,6010,Visible Minority,Women+,West Asian,2021,0,papastew Ward
Aspen Gardens,5020,Visible Minority,Men+,Arab,2021,10,papastew Ward
Aspen Gardens,5020,Visible Minority,Men+,Black,2021,0,papastew Ward
